epoch,loss,lr,output1_acc,output1_loss,output2_acc,output2_loss,val_loss,val_output1_acc,val_output1_loss,val_output2_acc,val_output2_loss
0,2.2479994675063364,0.002000000094994902,0.7399873659268861,0.5363431890441583,0.40732785830449547,1.7446844926154546,2.3023673473520483,0.7553191480907142,0.6034301929440059,0.4397163109999177,1.7655087979972786
1,1.6448471916075829,0.002000000094994902,0.8295009482004788,0.3732551387948321,0.5836386605523014,1.2230763165316698,2.362887703780587,0.7482269520455218,0.6714027219630302,0.4468085102155699,1.7920429317663746
2,1.4059101229442947,0.002000000094994902,0.8538850288788729,0.3250764461931969,0.6580543269858056,1.0082286054923877,2.4123494456000363,0.75177304964539,0.7098860241842608,0.4734042559532409,1.8222630091592773
3,1.2528619300242247,0.002000000094994902,0.8758054332046364,0.28564827139815874,0.7049273528634034,0.8748945121590427,2.2479515261683902,0.7960992920483257,0.5497972229693798,0.4911347505048657,1.7379094996350877
4,1.1052376903767684,0.002000000094994902,0.8947567913100001,0.2523129975219656,0.7502210989754484,0.7439379186624224,2.308045150540399,0.7872340421304636,0.5436928876748321,0.5283687930580572,1.8010553223021486
5,1.0223470169309568,0.002000000094994902,0.9082754266841909,0.2233271025022373,0.7723941886568101,0.6755401902009021,2.1874688398753497,0.8156028377248886,0.5092644125011796,0.5177304966652647,1.697693276912608
6,0.9601620207387136,0.002000000094994902,0.9121288695745052,0.21863101656235104,0.7950726470386991,0.6157032324781315,2.381511409231957,0.7801418431261753,0.6178733700133384,0.4875886520595416,1.837431290470962
7,0.8838455353819413,0.002000000094994902,0.9205306382926296,0.19540718377803748,0.8130132665983575,0.5509986631266316,2.5192364344360136,0.8049645411207321,0.6130992884331561,0.5212765970128648,1.9775433252889212
8,0.8252019810736819,0.002000000094994902,0.92861655109379,0.1811615834056164,0.8363234372057646,0.4994779136198951,2.4232902408491634,0.8138297897704104,0.5618150517450157,0.5177304964539007,1.90723927646664
9,0.7905713048752395,0.002000000094994902,0.9361970943208744,0.1664631802449856,0.8418193309124858,0.4721964376679118,2.5654054144595535,0.7960992928937818,0.6372087556631008,0.5212765982810487,2.0116575804162533
10,0.7618233722821114,0.002000000094994902,0.9344283010111679,0.1648261188670042,0.8535691730221541,0.4442670247069809,2.590668707029194,0.8280141839744352,0.5982136054241911,0.5177304985675406,2.056418517802624
11,0.6645643948604996,0.001000000047497451,0.9464939989700244,0.13469561963087384,0.8779532537833844,0.3620732781334309,2.466395653731434,0.7943262398665678,0.5957549231272217,0.5496453913391061,1.9333747447805198
12,0.6048860338091172,0.001000000047497451,0.9571699306999516,0.11390423500134984,0.8987365765053491,0.3127905911610086,2.6884148306880435,0.8031914902071581,0.6752209912800621,0.528368796439881,2.115660933738059
13,0.5743331715530484,0.001000000047497451,0.960075805553212,0.10678390986036064,0.910612760950174,0.2857978798453746,2.4851219958447395,0.845744679160152,0.5397247589649038,0.5709219858156028,1.9801162312216796
14,0.5466246917288438,0.001000000047497451,0.9629816804968401,0.09880083735163876,0.9140871766015688,0.2620809254375953,2.695372733664005,0.8031914918980699,0.6172873542663899,0.5407801422666996,2.1515856245730784
15,0.5216601583337152,0.001000000047497451,0.9646241315241034,0.09359202012560901,0.9211623502395158,0.2397207930731156,2.76843211160484,0.8049645385843642,0.681909681211972,0.5301418452398151,2.192333845382041
16,0.4945787457936336,0.0005000000237487257,0.9701200254115588,0.08147244356567923,0.9295009478766634,0.2186991611369712,2.6422245502471924,0.8209219866610588,0.6301907355903734,0.5549645402752761,2.0919857363328864
17,0.4692941767688951,0.0005000000237487257,0.9710675932754088,0.07776878435195284,0.9362602655524628,0.19526641674608047,2.6633244051155467,0.822695033347353,0.6063317645948829,0.5514184380254001,2.1250151471888765
18,0.4517619345019456,0.0005000000237487257,0.9735944410403621,0.07045814527159842,0.9430195833412214,0.1813894870156212,2.6273722293529103,0.8351063838241793,0.6673924014077964,0.5673758861020948,2.0585326040890197
19,0.437750330497702,0.0005000000237487257,0.9756790904552968,0.06603794876916719,0.9451674038823163,0.16958798118693424,2.804632049925784,0.8102836866750784,0.6975061276280288,0.5425531919120897,2.2207355888177323
20,0.4202339323464633,0.0005000000237487257,0.9753000632465,0.06444596951063758,0.9526847759305264,0.1528675700233695,2.7657923123515245,0.8209219870837867,0.6641940854965372,0.5460992920483257,2.198551886470605
21,0.4127669459946609,0.00025000001187436277,0.9783322806156518,0.0589852153130031,0.9524952623411892,0.14813095974587068,2.745807588523161,0.8067375899206662,0.6542224621941858,0.5443262402892958,2.18355290179557
22,0.4038672230210548,0.00025000001187436277,0.9805432723732742,0.05612940955730608,0.9548325965243356,0.14065913891799828,2.8733021029343844,0.7943262407120238,0.7903981544870011,0.5407801397303318,2.242959552622856
23,0.4016703803819414,0.00025000001187436277,0.9787744789280172,0.05559748574098265,0.9562223627231426,0.13872825717877074,2.7979801648052027,0.8102836887887184,0.6698364902895393,0.5372340421304636,2.2279185115868323
24,0.3867454142074983,0.00025000001187436277,0.98041692994775,0.0512978475477337,0.9600758055607428,0.12595311233930326,2.5733959463471217,0.822695033347353,0.5923078943651618,0.5620567350522846,2.0420986316728253
25,0.3937386074701744,0.00025000001187436277,0.9787744788978948,0.05662721491672349,0.9582438409817948,0.13028162189265707,2.7678534612588,0.8156028351885207,0.6653579329767971,0.5478723387346199,2.200031074226325
26,0.3799060079204983,0.00012500000593718139,0.9818698673856764,0.04938869285817886,0.9635502211970765,0.12006828377584605,2.8921973739109985,0.799645391339106,0.7443522823617813,0.5319148938283853,2.2848778041542004
27,0.3803674889002431,0.00012500000593718139,0.9821225521915408,0.05034090952097014,0.9627921668547884,0.12005365550028547,2.687937171746653,0.826241135597229,0.5718997543585216,0.5567375873842983,2.166843928343861
