epoch,loss,lr,output1_acc,output1_loss,output2_acc,output2_loss,val_loss,val_output1_acc,val_output1_loss,val_output2_acc,val_output2_loss
0,0.7609328844693365,1e-04,0.9437144664142678,0.14588285511476062,0.8428932412470433,0.45285060576299135,2.328869401985872,0.8280141818607952,0.5830340562982762,0.5425531940257295,1.8022144390336166
1,0.7421791455072462,1e-04,0.9440934935402283,0.13862137799483648,0.8505369556379409,0.43773342163519097,2.223646016831094,0.8439716337420416,0.47907958343519386,0.5460992920483257,1.7489747324733869
2,0.7153293053409531,1e-04,0.9485786483096534,0.13207555054036862,0.8601389770784938,0.4141628999688997,2.50877867860997,0.8067375869615704,0.6412967883103283,0.5372340425531915,1.9530049926000284
3,0.6857867793425381,1e-04,0.9518003791777755,0.12337928286183505,0.8701200257203132,0.3889754966852112,2.218270115818538,0.8457446800056079,0.5070718476112853,0.549645390070922,1.7296166335437315
4,0.6651183838341256,1e-04,0.9576121290123168,0.11704944327087698,0.8751105500261617,0.3714794052189389,2.1967814239204353,0.8421985836739235,0.5024349683142723,0.5531914893617021,1.7104532219839435
5,0.6463231453696762,1e-04,0.9592545800621722,0.10624932152650361,0.8819962101651383,0.3580919333183532,2.2939864253321436,0.8173758848339108,0.606057974040931,0.5638297872340425,1.7558546125466097
6,0.6359815389012056,1e-04,0.9593177513012913,0.1068884510709301,0.8847757426907725,0.3474377802426651,2.3115382194519043,0.820921984124691,0.5757535239483448,0.5673758848339108,1.7885657810995765
7,0.627902292783548,1e-04,0.9606443463061628,0.10633259107907664,0.8905874924650692,0.33964401943278477,2.303229257570091,0.8191489357474848,0.5997348110726539,0.5514184418299519,1.768273390776722
8,0.6160186302187468,1e-04,0.9635502212723824,0.09947483812471168,0.8884396719465659,0.3311968495216237,2.1825996155434466,0.8404255298012537,0.5274913659755219,0.5460992916255978,1.6837732580536646
9,0.6148999627677233,1e-04,0.9650663298816524,0.09923459299459385,0.8946304488920066,0.33020559585101983,2.2040264893930854,0.8546099282325582,0.5025998666776833,0.5638297889249545,1.7176535890457478
10,0.5840326329197827,1e-04,0.9669614657147806,0.09301122789678887,0.8998736579284138,0.30245767460167594,2.2987776664977377,0.8351063829787234,0.5819656371224856,0.5531914895730661,1.7727296200204403
11,0.5838702312806552,1e-04,0.9668982945057838,0.093359482690306,0.9047378398689829,0.3021289241291343,2.2337280824674783,0.826241136019957,0.54906742369875,0.5744680834154711,1.7241362933571458
12,0.5875950234416761,1e-04,0.9669614656997194,0.09473926606749855,0.8989260901323392,0.30517151622702937,2.128714380534828,0.8351063808650835,0.5245761427473514,0.5868794330468414,1.63137641527974
13,0.5793732849578652,1e-04,0.9670878080273457,0.09244963625470672,0.9063802908887159,0.2981026321291848,2.186056691704067,0.8599290788596403,0.45222343705224655,0.5585106372410524,1.724902848825387
14,0.5613546862831164,1e-04,0.969235628621155,0.08394838769508929,0.9066329757096416,0.28434227999448025,2.3339514630906124,0.8120567363204686,0.627235713579976,0.5851063855150913,1.785299835475624
15,0.5524470147609108,1e-04,0.9716993052147644,0.08323133448427114,0.9144030324884103,0.27580105047096426,2.2703071891838777,0.8333333316424214,0.5790239800798133,0.5797872348880091,1.7457686890947057
16,0.547749661789314,1e-04,0.9731522426752824,0.0806810589108336,0.9145293749515874,0.2723868540473475,2.153676186893003,0.8351063825559955,0.5366858007214593,0.5921985840966516,1.6503153844928065
17,0.5420654296423164,1e-04,0.9723310171767119,0.08057185392250235,0.9138976629293951,0.2667651138178397,2.317722892084866,0.8404255340285335,0.5751526055606544,0.5815602853788552,1.7951361659570788
18,0.5498162725645006,5e-05,0.9715729628796075,0.08139020603241909,0.9142766901381921,0.274112985390918,2.181177651628535,0.8581560262551544,0.5196743201702199,0.5797872353107372,1.6863343893213476
19,0.5271307493039347,5e-05,0.9750473784707576,0.07565868000205152,0.9224257741106965,0.25429748680609654,2.1768461406653654,0.85106383063269,0.5133432238659961,0.5975177300737259,1.685172900240472
20,0.5357705996711271,5e-05,0.9748578648964815,0.07679771591714493,0.916487681978651,0.2623722751364253,2.1200199321652136,0.8475177326100938,0.5008668683944865,0.5886524818467755,1.6345892451333661
21,0.5303340553409001,5e-05,0.9727732155116691,0.07945733043169267,0.921541377463374,0.25561026614524107,2.1117928256379797,0.8634751747685967,0.4823946510012268,0.5851063825559955,1.6356025883492002
22,0.5318184953660657,5e-05,0.9740998105918465,0.07902471023039281,0.9205938094263203,0.25731536188949455,2.0506801376951502,0.8492907780282041,0.4646488542252399,0.5992907780282041,1.583367126207825
23,0.5347378079490577,5e-05,0.974289324158592,0.07574601431841423,0.9176247633866547,0.26187865258166854,2.304609163433102,0.8297872327743693,0.5759888185676953,0.5709219870837867,1.7816308491618922
24,0.5309403487119355,5e-05,0.972583701937393,0.07942984265499452,0.9180669617893872,0.2562437659434254,1.9561702799289784,0.8475177330328217,0.4459449619266158,0.5939716299374899,1.4982184323858707
25,0.5195474050877897,5e-05,0.9733417562570891,0.07583447612600845,0.9246367660264614,0.24665299129877674,2.258695037652415,0.8421985798693717,0.527469221159076,0.5638297872340425,1.7599857631304585
26,0.524305666795804,5e-05,0.9732785850330312,0.07731362896455442,0.9237523692209963,0.25067623674078826,2.121474989762543,0.8599290801278243,0.44903035514743617,0.5851063808650835,1.6619893718273082
27,0.5202704672902276,5e-05,0.9760581175812573,0.0744276633386136,0.9223626029242915,0.2480881953175431,2.2688692461514304,0.8280141839744352,0.5985371876270213,0.5797872348880091,1.7346345127051603
28,0.5272760718590236,5e-05,0.9737207833981107,0.07933388770953885,0.9209096654110593,0.25264497521325746,2.3003789296386934,0.8280141843971631,0.5479861637379261,0.5620567401250204,1.7914240968988298
29,0.5243993083698721,5e-05,0.9738471257784512,0.07826592638166133,0.9229311437450175,0.25030672147502947,2.210388313793967,0.849290780564572,0.520765095949173,0.5726950375746328,1.7150483824682574
30,0.5167945890846842,2.5e-05,0.9747315225537939,0.07532954268905835,0.9245104235181008,0.24417374536197395,2.3395669773115335,0.8297872331970972,0.5597373526147071,0.5567375907661222,1.8247434365833906
31,0.5179360160854747,2.5e-05,0.9756790904552968,0.07391719447892449,0.9246367659059719,0.2460236272741102,1.9910477053189108,0.874113473063665,0.4512024050486003,0.6099290801278243,1.530494010194819
32,0.5136385368871599,2.5e-05,0.9767530007371402,0.07038624618844902,0.92394188276515,0.24349382869894567,2.1182699169672974,0.8439716320511297,0.4921986587504123,0.5833333354469732,1.6372200681808147
33,0.5110244152369713,2.5e-05,0.9737839546372299,0.07525993433892163,0.9278584968117469,0.23844511000438348,2.1280602504175605,0.8475177309191819,0.5019599843955209,0.5904255298012537,1.6421322949389194
34,0.5136727585042494,2.5e-05,0.973594441040362,0.07571328408446631,0.9253948202557905,0.24086915810162404,2.1471354403394334,0.8404255314921656,0.5229234822252964,0.5797872340425532,1.6507280075803716
35,0.5085124201700797,1.25e-05,0.977005685467699,0.06953617633330393,0.9272899560738573,0.2387991771393762,2.210551911212028,0.852836881546264,0.5275093494577611,0.5851063829787234,1.7118528024524662
36,0.5151648978906873,1.25e-05,0.9742261529495952,0.07539470979657945,0.9262160458070752,0.24252347979678132,2.064262871201157,0.8563829770324923,0.44605528462863137,0.5904255336058055,1.6062916644076084
37,0.5090225462663498,1.25e-05,0.9763739735961187,0.07156603757200253,0.9296272902344122,0.23829660117814455,2.2136197487513223,0.8351063842469073,0.5422440824356485,0.5797872353107372,1.707555410709787
38,0.5043638050819753,1.25e-05,0.9746683513673889,0.07431949199714467,0.9309538853597731,0.23226225137597611,2.175672214081947,0.8457446800056079,0.521281565968872,0.5797872331970972,1.6800901509345847
39,0.5112858641810306,1.25e-05,0.9777637398024563,0.06847784894925088,0.9265950729480967,0.2421062051289758,2.2346307707171067,0.8404255327603496,0.5203429802935174,0.5780141839744352,1.7395191852082597
40,0.5024188412756989,1e-05,0.9785217941372137,0.06793634781469217,0.9266582440516652,0.2335109689777137,2.0363000969514777,0.8510638276735941,0.463598777216377,0.5957446829647037,1.5695616539488448
41,0.5027575774088888,1e-05,0.9772583702735635,0.0696010074878861,0.9288060646981886,0.23301842042109067,2.158046803575881,0.8457446821192478,0.5072393806268137,0.5815602828424873,1.66948908694247
42,0.5037765405144935,1e-05,0.976184459939006,0.07149677021230089,0.9283006950713981,0.23309051096439362,1.9676066839948614,0.8634751756140526,0.4361558345192713,0.6063829766097644,1.5145916473780963
43,0.5055749894129801,1e-05,0.977953253384263,0.06933898380660439,0.9245104235030396,0.2359687775034582,2.2917374854392194,0.8492907780282041,0.5327829676316985,0.578014185665347,1.7904097695722647
44,0.504341694503665,1e-05,0.9759949463647299,0.07243405976206234,0.9267845864771893,0.23318888813690228,2.230788565696554,0.8404255327603496,0.5354145067803403,0.5691489370156687,1.7281460280114032
45,0.5072446193261306,1e-05,0.9761844599766589,0.07070103142921184,0.9284270376098811,0.23695930325563241,2.0776083706118538,0.8581560279460664,0.45577568661236595,0.597517728805542,1.6147863484443503
46,0.496342617887074,1e-05,0.9794061909050258,0.06581095372969714,0.9327226787447854,0.22850328043752732,2.15327650519973,0.8492907822554838,0.5079119218156692,0.5833333312196934,1.6643871787592028
47,0.4978016540737598,1e-05,0.9756790904101132,0.07156442110947393,0.9314592547455847,0.2270865565075275,2.232095898465907,0.8528368785871682,0.543541412192879,0.5939716299374899,1.7253927846326895
48,0.4987901035096174,1e-05,0.9785849653537411,0.06636093340941192,0.9302590022114208,0.23067765580802044,2.1196720989037914,0.8386524818467755,0.4945349080342773,0.5904255331830776,1.6374732720936445
49,0.5110320441194223,1e-05,0.97631080236453,0.07352416183910111,0.9271636136558639,0.23933888799543254,2.1547973088338868,0.849290778450932,0.5080583089209617,0.5851063842469073,1.6658376438397888
50,0.5028960915885993,1e-05,0.9766898295206129,0.06990247236132922,0.9294377765923607,0.23301473915087445,2.282337378102837,0.8297872336198252,0.5609164280248872,0.5797872348880091,1.76694950905252
51,0.49561166740337353,1e-05,0.9757422615588652,0.07167223345862486,0.9332912194525526,0.22484638457688363,1.9200689073995496,0.8829787250951673,0.386769970680805,0.601063831900874,1.4917552242887782
52,0.49711081111875427,1e-05,0.9771320279007536,0.06816201786488878,0.9319014531633784,0.22810154773167846,2.1779179387058774,0.8439716295147619,0.5255385649965164,0.5815602845333993,1.680220903234279
53,0.5001828209629409,1e-05,0.9770688566541039,0.06943094966084763,0.9296272902042897,0.23054001081501918,2.1694917543560055,0.8439716290920338,0.5334892547722404,0.5833333337560613,1.6678202050797484
54,0.5039882419723841,1e-05,0.975300063261561,0.07383108042175832,0.9289324070860597,0.23214629637389264,2.21224670376338,0.8475177296509979,0.5218578617200784,0.5744680863745669,1.7163919387979711
55,0.5052188483018025,1e-05,0.9767530006919567,0.07067307809053609,0.9298799749950932,0.23495688165243261,2.1615950925975826,0.8475177300737259,0.5092296786342106,0.5815602819970314,1.6720555851645504
56,0.5046500712350735,1e-05,0.9737207834658861,0.07553038710630626,0.9312697412541451,0.23196040884799318,2.230282058107092,0.8439716290920338,0.5459519476755291,0.5780141827062513,1.7223820474976343
57,0.4995467313692981,1e-05,0.9766898295657964,0.07072165687995023,0.9318382819694427,0.22926235557430844,2.1088714574245695,0.8439716333193137,0.5096688815887939,0.5815602858015831,1.6191139601646585
58,0.4904166894514803,1e-05,0.9770056854752296,0.06941135208759591,0.9326595074680133,0.22078840618862505,2.1177950733942343,0.8546099269643743,0.4702813166675838,0.5797872319289133,1.6477322730612247
59,0.4930409306035491,1e-05,0.9781427669660697,0.06557054290252627,0.9321541379918348,0.22533401261005534,2.131408669424395,0.8563829808370441,0.5009150333861088,0.5921985811375557,1.646030103906672
60,0.4987715923251491,1e-05,0.9759317752536308,0.07189804577349261,0.9315224260600097,0.22790185317764233,2.1612656150303833,0.8457446804283358,0.5085488923475252,0.5797872348880091,1.6720709251173844
61,0.5001353984645703,1e-05,0.9780795957796647,0.06865313697749877,0.9296272902344122,0.23088901641055593,2.112035598315246,0.8386524805785917,0.5163913897588743,0.5904255327603496,1.6189205206877797
62,0.49399827660749174,1e-05,0.9759949463797911,0.0707767458101917,0.9336702466688801,0.2236909565033976,2.1152106870150735,0.8475177313419099,0.48019289632215567,0.5638297859658586,1.6401958042848195
63,0.4994547919013119,1e-05,0.9778900821752663,0.06898004893338236,0.9286165511088513,0.2300467749976389,2.2232339686535774,0.8368794313559296,0.5760701074667857,0.5780141843971631,1.7002814610799153
