epoch,loss,lr,output1_acc,output1_loss,output2_acc,output2_loss,val_loss,val_output1_acc,val_output1_loss,val_output2_acc,val_output2_loss
0,0.8963619192685086,1e-04,0.9199386500873449,0.20071904261602214,0.8062116565148523,0.5608603839493967,1.9026599588065312,0.844827584151564,0.4672547917941521,0.5689655151860468,1.4338921390730759
1,0.8471889283028117,1e-04,0.9240030677772008,0.19036544066813826,0.8235429448584106,0.5168677987130873,1.9819972227359641,0.823275860013633,0.5208317637443542,0.5926724137931034,1.4864453693916058
2,0.8271128680077067,1e-04,0.9307515339617349,0.17465829706630823,0.8249233129565701,0.5046499281207477,1.8195446318593518,0.8405172454899755,0.45740633072524234,0.5818965537794705,1.3557097829621414
3,0.7824779899573765,1e-04,0.9384202453256385,0.16184136329984372,0.8397239263803681,0.46642831114172206,1.9371525336956155,0.8189655131307142,0.534291006367782,0.605603444165197,1.4348804293007686
4,0.7763728179814625,1e-04,0.9377300614228278,0.15954932328199317,0.843481594872621,0.4614741741879586,1.8706220306199173,0.8491379351451479,0.43819861576474944,0.6056034503311947,1.4164015136916062
5,0.7386304262956959,1e-04,0.9439417180108146,0.1441014922698217,0.8539877299882151,0.43146105467176143,1.887928272115773,0.8146551744691257,0.5042078926645476,0.5883620648548521,1.4007083876379605
6,0.7286393654858407,1e-04,0.9447852759273505,0.14454320597868026,0.8593558282208589,0.42125470740663495,1.9203846660153618,0.8405172413793104,0.47455706267521297,0.5883620730761824,1.4479961025303807
7,0.7174806143608561,1e-04,0.9450920244667428,0.14142107960819467,0.865260736196319,0.4116628298364534,1.8476775021388614,0.834051724137931,0.4297373726450164,0.5969827545100245,1.397704186110661
8,0.7001900203388893,5e-05,0.9523006134969325,0.13379800371322895,0.8684049079023256,0.39818830128096366,1.8532453569872627,0.821120691710505,0.45429708834352167,0.5948275820962314,1.3909955682425663
9,0.7032849122410172,5e-05,0.9528374233128835,0.13580348100398948,0.8651073618169212,0.40028361327077716,1.8275099787218818,0.8469827586206896,0.46511131936106187,0.6099137972141134,1.3598565315378124
